a			ʌ
gables			gejˈbʌlz
gabon			gʌbɑˈn
gabor			gʌbɔˈɹ
gaboriault		gæˈbɚiow
gaboury		gæˈbʊɹi
gabrall		gejˈbɹʌl
gabrall's		gejˈbɹʌlz
gabriel		gejˈbɹiʌl
gabriel's		gejˈbɹiʌlz
gabriela		gɑbɹiɛˈlʌ
gabriele		gɑbɹiɛˈl
gabriella		gɑbɹiɛˈlʌ
gabrielle		gæˈbɹiɛl
gabrielli		gɑbɹiɛˈli
gabrielsen		gæˈbɹilsʌn
gabrielsen(1)		gejˈbɹiɛlsʌn
gabrielson		gæˈbɹilsʌn
gabrielson(1)		gejˈbɹiɛlsʌn
gabrowny		gʌbɹawˈni
gabrys			gæˈbɚiz
gaby			gæˈbi
gaccione		gɑkʧowˈni
gacek			gɑˈʧɛˌk
gach			gæˈʧ
gacy			gejˈsi
gacy's			gejˈsiz
gad			gæˈd
gadberry		gæˈdbɛˌɹi
gadbois		gæˈdbwɑˌ
gadd			gæˈd
gaddie			gæˈdi
gadding		gæˈdɪŋ
gaddis			gæˈdɪs
gaddum			gæˈdʌm
gaddy			gæˈdi
gade			gejˈd
gadflies		gæˈdflajˌz
gadfly			gæˈdflajˌ
gadget			gæˈʤʌt
gadget's		gæˈʤʌts
gadgetry		gæˈʤʌtɹi
gadgets		gæˈʤʌts
gadhafi		gʌdɑˈfi
gadhafi(1)		gʌdhɑˈfi
gadhafi's		gʌdɑˈfiz
gadhafi's(1)		gʌdhɑˈfiz
gadomski		gʌdɑˈmski
gadoury		gæˈdʊɹi
gads			gæˈdz
gadsby			gæˈdzbi
gadsden		gæˈdzdʌn
gadson			gæˈdsʌn
gadway			gæˈdwejˌ
gadzinski		gʌʤɪˈnski
gae			gajˈ
gaea			giˈʌ
gaebel			gɛˈbʌl
gaede			giˈd
gael			gejˈl
gaelic			gejˈlɪk
gaertner		gɛˈɹtnɚ
gaeta			giˈtʌ
gaetano		gajtɑˈnow
gaeth			giˈθ
gaetz			giˈts
gaf			gæˈf
gaff			gæˈf
gaffe			gæˈf
gaffes			gæˈfs
gaffey			gæˈfi
gaffin			gæˈfɪn
gaffney		gæˈfni
gafford		gæˈfɚd
gag			gæˈg
gagan			gejˈgʌn
gagarin		gʌgæˈɹʌn
gage			gejˈʤ
gagel			gæˈgʌl
gagen			gæˈgʌn
gager			gejˈgɚ
gagged			gæˈgd
gaggle			gæˈgʌl
gagliano		gɑgliɑˈnow
gagliano(1)		gægliɑˈnow
gagliardi		gɑgliɑˈɹdi
gagliardi(1)		gægliɑˈɹdi
gagliardo		gɑgliɑˈɹdow
gagliardo(1)		gægliɑˈɹdow
gaglio			gæˈgliow
gaglione		gɑgliowˈni
gaglione(1)		gægliowˈni
gagne			gejˈni
gagne(1)		gæˈgni
gagner			gæˈgnɚ
gagnier		gæˈgniɚ
gagnon			gæˈnjʌn
gags			gæˈgz
gahagan		gɑhɑˈgɑn
gahan			gæˈhʌn
gahli			gɑˈli
gahm			gæˈm
gahn			gæˈn
gahr			gɑˈɹ
gai			gejˈ
gaia			gajˈʌ
gaidar			gajˈdɑˌɹ
gaidar's		gajˈdɑˌɹz
gaier			gejˈɚ
gaige			gejˈʤ
gail			gejˈl
gail's			gejˈlz
gaile			gejˈl
gailey			gejˈli
gaillard		gejˈlɚd
gaily			gejˈli
gain			gejˈn
gained			gejˈnd
gainer			gejˈnɚ
gainers		gejˈnɚz
gaines			gejˈnz
gainesville		gejˈnzvɪˌl
gainey			gejˈni
gainful		gejˈnfʌl
gainfully		gejˈnfʌli
gaining		gejˈnɪŋ
gainor			gejˈnɚ
gainous		gejˈnʌs
gains			gejˈnz
gainsay		gejˈnsejˌ
gainsboro		gejˈnzbɚow
gainsco		gejˈnskow
gair			gɛˈɹ
gaiser			gejˈzɚ
gait			gejˈt
gaitan			gajˌtɑˈn
gaiter			gejˈtɚ
gaither		gejˈθɚ
gaithersburg		gejˈθɚzbɚg
gaitskill		gejˈtskɪˈl
gajda			gajˈdʌ
gajewski		gajɛˈfski
gal			gæˈl
gala			gæˈlʌ
gala(1)		gejˈlʌ
galactic		gʌlæˈktɪk
galactose		gʌlæˈktows
galahad		gæˈlʌhæˌd
galambos		gɑlɑˈmbowz
galan			gejˈlʌn
galane			gʌlejˈn
galang			gæˈlʌŋ
galanis		gʌlɑˈnɪs
galanos		gʌlɑˈnows
galant			gɑˈlʌnt
galante		gɑlɑˈnti
galanter		gʌlæˈntɚ
galanti		gʌlæˈnti
galapagos		gʌlɑˈpʌgowz
galarneau		gæˈlɑɹnowˌ
galarza		gʌlɑˈɹzʌ
galas			gejˈlʌz
galasie		gæˈlʌsi
galassi		gɑlɑˈsi
galasso		gɑlɑˈsow
galatas		gɑlɑˈtɑz
galatea		gæˌlʌtiˈʌ
galati			gɑlɑˈti
galaviz		gæˈlʌvɪz
galax			gæˈlæˌks
galaxies		gæˈlʌksiz
galaxy			gæˈlʌksi
galaxy's		gæˈlʌksiz
galban			gæˈlbʌn
galbo			gæˈlbow
galbraith		gæˈlbɹejˌθ
galbreath		gæˈlbɹɛˌθ
gale			gejˈl
gale's			gejˈlz
galea			gejˈliʌ
galeano		gɑliˈnow
galeb			gæˈlʌb
galeb(1)		gejˈlʌb
galebs			gæˈlʌbz
galebs(1)		gejˈlʌbz
galef			gæˈlʌf
galen			gejˈlʌn
galen's		gejˈlʌnz
galena			gʌliˈnʌ
galenical		gʌlɛˈnɪkʌl
galentine		gɑlɛntiˈni
galer			gejˈlɚ
galeria		gæˌlɚiˈʌ
galerias		gæˌlɚiˈʌz
galeries		gæˈlɚiz
galernter		gʌlɚˈntɚ
gales			gejˈlz
galesburg		gejˈlzbɚg
galesi			gʌlɛˈsi
galey			gejˈli
galford		gæˈlfɚd
galgano		gɑlgɑˈnow
gali			gɑˈli
gali's			gɑˈliz
galiano		gɑliɑˈnow
galicia		gʌlɪˈʃiʌ
galie			gejˈli
galiena		gɑliˈnʌ
galik			gæˈlɪk
galilean		gæˌlʌliˈʌn
galilee		gæˈlʌliˌ
galileo		gæˌlʌliˈow
galileo(1)		gæˌlʌlejˈow
galileo's		gæˌlʌliˈowz
galileo's(1)		gæˌlʌlejˈowz
galin			gæˈlɪn
galina			gʌliˈnʌ
galindo		gɑliˈndow
galinski		gʌlɪˈnski
galinsky		gʌlɪˈnski
galioto		gɑliowˈtow
galipault		gæˈlɪpɔˌlt
galipault(1)		gæˈlɪpowˌ
galipeau		gæˈlɪpowˌ
galitsin		gʌlɪˈtsɪn
galka			gæˈlkʌ
gall			gɔˈl
galla			gæˈlʌ
gallacher		gæˈlʌkɚ
gallager		gɔˈlɪʤɚ
gallagher		gæˈlʌgɚ
gallahan		gæˈlʌhæn
gallaher		gæˈlʌhɚ
gallamore		gɑlɑˈmɔɹ
galland		gæˈlʌnd
gallant		gæˈlʌnt
gallantly		gæˈlʌntli
gallantry		gæˈlʌntɹi
gallard		gʌlɑˈɹd
gallardo		gɑlɑˈɹdow
gallas			gæˈlʌz
gallatin		gæˈlʌtɪn
gallaudet		gæˈlʌdɛt
gallaway		gɔˈlʌwejˌ
gallbladder		gɔˈlblæˌdɚ
galle			gejˈl
galle(1)		gæˌlejˈ
gallego		gɑlɛˈgow
gallegos		gæˈlɪgowz
gallemore		gɑlɛˈmɔɹ
gallen			gɔˈlʌn
gallentine		gɑlɛntiˈni
galleon		gæˈliʌn
galleons		gæˈliʌnz
galler			gɔˈlɚ
gallerani		gɑlɚɑˈni
galleria		gæˌlɚiˈʌ
galleries		gæˈlɚiz
gallery		gæˈlɚi
gallery's		gæˈlɚiz
galles			gejˈlz
gallet			gæˈlɪt
galletti		gɑlɛˈti
galley			gæˈli
galleys		gæˈliz
galli			gæˈli
gallia			gæˈljʌ
galliano		gɑliɑˈnow
gallic			gæˈlɪk
gallick		gæˈlɪk
gallien		gʌliˈn
gallier		gæˈliɚ
galligan		gæˈlɪgʌn
galliher		gæˈlɪhɚ
gallik			gæˈlɪk
gallimard		gæˈlɪmɚd
gallimore		gɑliˈmɔɹ
gallina		gɑliˈnʌ
galling		gɔˈlɪŋ
gallinger		gɔˈlɪŋɚ
gallinsky		gʌlɪˈnski
gallion		gæˈljʌn
gallium		gæˈliʌm
gallivan		gæˈlɪvʌn
gallman		gɔˈlmʌn
gallo			gæˈlow
gallo's		gæˈlowz
gallogly		gæˈlʌgli
gallon			gæˈlʌn
gallons		gæˈlʌnz
galloon		gʌluˈn
gallop			gæˈlʌp
galloped		gæˈlʌpt
galloping		gæˈlʌpɪŋ
gallos			gæˈlowz
gallow			gæˈlow
galloway		gæˈlowwejˌ
galloways		gæˈlowwejˌz
gallows		gæˈlowz
galls			gɔˈlz
gallstone		gɔˈlstowˌn
gallstones		gɑˈlstowˌnz
gallstones(1)		gɔˈlstowˌnz
gallucci		gɑluˈʧi
galluccio		gɑluˈʧiow
gallup			gæˈlʌp
gallus			gæˈlʌs
galluzzo		gɑluˈzow
gallway		gɔˈlwejˌ
galoob			gʌluˈb
galoob's		gʌluˈbz
galore			gʌlɔˈɹ
galosh			gʌlɑˈʃ
galoshes		gʌlɑˈʃʌz
galoshes(1)		gʌlɑˈʃɪz
galotti		gʌlɑˈti
galpin			gæˈlpɪn
gals			gæˈlz
galster		gæˈlstɚ
galsworthy		gæˈlzwɚˌði
galt			gɔˈlt
galton			gæˈltʌn
galudet		gæˌljudɛˈt
galus			gæˈlɪs
galusha		gæˈlʌʃʌ
galuska		gʌlʌˈskʌ
galvan			gɑlvɑˈn
galvanic		gælvæˈnɪk
galvanize		gæˈlvʌnajˌz
galvanized		gæˈlvʌnajˌzd
galvanizes		gæˈlvʌnajˌzʌz
galvanizing		gæˈlvʌnajˌzɪŋ
galven			gɑˈlvʌn
galveston		gæˈlvʌstʌn
galvez			gɑlvɛˈz
galvin			gæˈlvɪn
galvin's		gæˈlvɪnz
galway			gɑˈlwej
galyean		gæˈliʌn
galyen			gæˈliɛn
galyon			gæˈliɑn
gama			gɑˈmʌ
gamache		gɑˈmejk
gamage			gæˈmɪʤ
gamal			gʌmɑˈl
gamba			gæˈmbʌ
gambale		gɑmbɑˈli
gambardella		gɑmbɑɹdɛˈlʌ
gamber			gæˈmbɚ
gambia			gæˈmbiʌ
gambill		gʌmbɪˈl
gambino		gæmbiˈnow
gambit			gæˈmbɪt
gambits		gæˈmbʌts
gamble			gæˈmbʌl
gamble's		gæˈmbʌlz
gambled		gæˈmbʌld
gambler		gæˈmblɚ
gambler's		gæˈmblɚz
gamblers		gæˈmblɚz
gambles		gæˈmbʌlz
gamblin		gæˈmblɪn
gambling		gæˈmbʌlɪŋ
gambling(1)		gæˈmblɪŋ
gambling's		gæˈmblɪŋz
gamboa			gɑmbowˈʌ
gambone		gɑˈmbown
gambrel		gæˈmbɹʌl
gambrell		gæˈmbɹʌl
gambrill		gæˈmbɹɪl
gambro			gæˈmbɹow
gamco			gæˈmkow
game			gejˈm
game's			gejˈmz
gamecock		gejˈmkɔˌk
gamecocks		gejˈmkɔˌks
gamekeeper		gejˈmkiˌpɚ
gamekeepers		gejˈmkiˌpɚs
gamel			gɑˈmʌl
gamelin		gæˈmɪlɪn
gamelin(1)		gæˈmlɪn
gamello		gʌmɛˈlow
gamely			gejˈmli
gamer			gejˈmɚ
gamers			gejˈmɚz
games			gejˈmz
games'			gejˈmz
gameshow		gejˈmʃowˌ
gameshows		gejˈmʃowˌz
gamesman		gejˈmzmæˌn
gamesmanship		gejˈmzmʌnʃɪˌp
gamest			gejˈmʌst
gamet			gæˈmɪt
gametangia		gæˌmʌtæˈnʤiʌ
gamete			gæˈmit
gamete(1)		gʌmiˈt
gametophyte		gʌmiˈtʌfajˌt
gamez			gɑmɛˈz
gaming			gejˈmɪŋ
gaming's		gejˈmɪŋz
gamino			gɑmiˈnow
gamm			gæˈm
gamma			gæˈmʌ
gammage		gæˈmɪʤ
gammal			gʌmɑˈl
gammel			gæˈmʌl
gammell		gæˈmʌl
gammill		gæˈmɪl
gammon			gæˈmʌn
gammons		gæˈmʌnz
gamons			gæˈmʌnz
gamp			gæˈmp
gamper			gæˈmpɚ
gamsakhurdia		gæmsʌkɚˈdiʌ
gamsakhurdia(1)	gæmsʌkɚˈdjʌ
gamunde		gʌmuˈnd
gamunde's		gʌmuˈndz
gamut			gæˈmʌt
gan			gæˈn
gananoque		gʌnæˈnʌk
ganas			gæˈnʌz
ganatieuganauf		gʌnejˈʃʌgæˌnʌlf
ganaway		gæˈnʌwej
gancarz		gɑˈnkɑɹz
ganci			gæˈnsi
ganda			gæˈndʌ
gandalf		gæˈndɔlf
gandalf's		gæˈndɔlfs
gandara		gɑndɑˈɹʌ
gandee			gæˈndi
gander			gæˈndɚ
ganders		gæˈndɚz
gandhi			gɑˈndi
gandhi's		gɑˈndiz
gandolfi		gɑndowˈlfi
gandolfo		gɑndowˈlfow
gandy			gæˈndi
ganem			gæˈnɪm
ganes			gejˈnz
ganey			gejˈni
gang			gæˈŋ
gang's			gæˈŋz
gangbanger		gæˈŋbæŋgɚ
gangbangers		gæˈŋbæŋgɚz
gangbuster		gæˈŋbʌˌstɚ
gangbusters		gæˈŋbʌˌstɚz
gange			gæˈnʤ
gangemi		gɑŋgɛˈmi
ganger			gæˈŋɚ
ganges			gæˈnʤiz
gangi			gæˈnʤi
ganging		gæˈŋɪŋ
gangl			gæˈŋgʌl
ganglia		gæˈŋgliʌ
ganglionic		gæˌŋgliɑˈnɪk
gangloff		gæˈŋglɔf
gangly			gæˈŋli
gangplank		gæˈŋplæˌŋk
gangrene		gæˈngɹin
gangs			gæˈŋz
gangsta		gæˈŋstʌ
gangster		gæˈŋstɚ
gangsters		gæˈŋstɚz
gangwer		gæˈŋwɚ
ganic			gæˈnɪk
ganim			gæˈnɪm
ganis			gæˈnɪs
ganley			gæˈnli
gann			gæˈn
gannaway		gæˈnʌwej
gannett		gæˈnɪt
gannett's		gæˈnʌts
gannon			gæˈnʌn
gano			gɑˈnow
ganoe			gæˈnow
ganong			gæˈnɔŋ
gans			gæˈnz
gansen			gæˈnsʌn
ganser			gæˈnsɚ
ganske			gæˈnsk
ganson			gæˈnsʌn
ganster		gæˈnstɚ
gant			gæˈnt
gantenbein		gæˈntɪnbajn
ganter			gæˈntɚ
gantlet		gɔˈntlʌt
gantner		gæˈntnɚ
gantos			gæˈntows
gantry			gæˈntɹi
gantt			gæˈnt
gantz			gæˈnts
ganus			gejˈnɪs
ganymede		gæˈnʌmiˌd
ganz			gæˈnz
ganzel			gæˈnzʌl
ganzer			gæˈnzɚ
gaona			gɑowˈnʌ
gap			gæˈp
gap's			gæˈps
gape			gejˈp
gaping			gejˈpɪŋ
gapinski		gʌpɪˈnski
gapp			gæˈp
gappa			gæˈpʌ
gaps			gæˈps
gar			gɑˈɹ
gara			gæˈɹʌ
garabedian		gæˌɹʌbiˈdiʌn
garafalo		gɑɹɑfɑˈlow
garafola		gɑɹɑfowˈlʌ
garage			gɚɑˈʒ
garages		gɚɑˈʒɪz
garagiola		gɚæˌʤiowˈlʌ
garagiola(1)		gɛˌɹʌʤiowˈlʌ
garajda		gɚɑˈʒdʌ
garajda(1)		gɔɹɑˈʒdʌ
garajda's		gɚɑˈʒdʌz
garajda's(1)		gɔɹɑˈʒdʌz
garamendi		gɛˌɹʌmɛˈndi
garamendi's		gɛˌɹʌmɛˈndiz
garand			gæˈɹʌnd
garant			gɑˈɹʌnt
garard			gɚɑˈɹd
garavaglia		gɑɹɑvɑˈgliʌ
garay			gæˈɹej
garb			gɑˈɹb
garbacz		gɑˈɹbʌʧ
garbage		gɑˈɹbɪʤ
garbarini		gɑɹbɑɹiˈni
garbarino		gɑɹbɑɹiˈnow
garbe			gɑˈɹb
garbed			gɑˈɹbd
garber			gɑˈɹbɚ
garbers		gɑˈɹbɚz
garbett		gɑˈɹbɪt
garble			gɑˈɹbʌl
garbled		gɑˈɹbʌld
garbles		gɑˈɹbʌlz
garbling		gɑˈɹblɪŋ
garbo			gɑˈɹbow
garbutt		gɑˈɹbʌt
garceau		gɑɹsowˈ
garces			gɑˈɹsɛs
garcetti		gɑˌɹʧɛˈti
garcetti's		gɑˌɹʧɛˈtiz
garcia			gɑˌɹsiˈʌ
garcia's		gɑɹsiˈʌz
garcias		gɑɹsiˈʌz
garczynski		gɚʧɪˈnski
gard			gɑˈɹd
garda			gɑˈɹdʌ
garde			gɑˈɹd
gardea			gɑˈɹdiʌ
gardella		gɑˌɹdɛˈlʌ
garden			gɑˈɹdʌn
garden's		gɑˈɹdʌnz
gardena		gɑɹdiˈnʌ
gardenamerica		gɑˌɹdʌnʌmɛˈɹɪkʌ
gardened		gɑˈɹdʌnd
gardener		gɑˈɹdʌnɚ
gardener's		gɑˈɹdʌnɚz
gardeners		gɑˈɹdʌnɚz
gardeners(1)		gɑˈɹdnɚz
gardenhire		gɑˈɹdʌnhajˌɹ
gardenia		gɑɹdiˈnjʌ
gardenias		gɑɹdiˈnjʌz
gardening		gɑˈɹdʌnɪŋ
gardening(1)		gɑˈɹdnɪŋ
gardens		gɑˈɹdʌnz
gardin			gɑˈɹdɪn
gardiner		gɑˈɹdnɚ
gardini		gɑɹdiˈni
gardini's		gɑɹdiˈniz
gardinier		gɑˈɹdɪniɚ
gardinier(1)		gɑˈɹdɪnjɚ
gardner		gɑˈɹdnɚ
gardner's		gɑˈɹdnɚz
gardolin		gɑˈɹdowlɪn
gardolin's		gɑˈɹdowlɪnz
garduno		gɑɹduˈnow
gardyne		gɑˈɹdajˌn
gare			gɛˈɹ
gareau			gɚowˈ
gared			gæˈɹʌd
garelick		gæˈɹɪlɪk
gareth			gɛˈɹɪθ
garett			gæˈɹɪt
garey			gæˈɹi
garfield		gɑˈɹfiˌld
garfinkel		gɑˈɹfɪŋkʌl
garfinkle		gɑˈɹfɪˌŋkʌl
garfunkel		gɑˈɹfʌŋkʌl
garg			gɑˈɹg
gargan			gɑˈɹgʌn
gargano		gɑɹgɑˈnow
gargantuan		gɑɹgæˈnʧuʌn
garger			gɑˈɹgɚ
garges			gɑˈɹʤɪz
gargill		gɑˈɹʤɪl
gargis			gɑˈɹgɪs
gargiulo		gɑˈɹʤulow
gargoyle		gɑˈɹgɔjˌl
gargoyles		gɑˈɹgɔjˌlz
garguilo		gɑɹgwiˈlow
gargus			gɑˈɹgʌs
gari			gɑˈɹi
garibaldi		gæˌɹʌbɔˈldi
garibay		gæˈɹɪbej
gariepy		gɚiˈpi
garin			gɛˈɹɪn
garing			gɛˈɹɪŋ
garinger		gɛˈɹɪŋɚ
garis			gæˈɹɪs
garish			gɛˈɹɪʃ
garissa		gʌɹɪˈsʌ
garity			gæˈɹɪti
garl			gɑˈɹl
garlan			gɑˈɹlʌn
garland		gɑˈɹlʌnd
garlic			gɑˈɹlɪk
garlick		gɑˈɹlɪk
garlicky		gɑˈɹlɪki
garling		gɑˈɹlɪŋ
garlinger		gɑˈɹlɪŋɚ
garlinghouse		gɑˈɹlɪŋhawˌs
garlington		gɑˈɹlɪŋtʌn
garlitz		gɑˈɹlɪts
garlock		gɑˈɹlʌk
garlow			gɑˈɹlow
garman			gɑˈɹmʌn
garmany		gɚmɔˈni
garment		gɑˈɹmʌnt
garments		gɑˈɹmʌnts
garmon			gɑˈɹmʌn
garmond		gɑˈɹmʌnd
garms			gɑˈɹmz
garmund		gɑˈɹmʌnd
garn			gɑˈɹn
garneau		gɑɹnowˈ
garnell		gɑɹnɛˈl
garner			gɑˈɹnɚ
garnered		gɑˈɹnɚd
garnering		gɑˈɹnɚɪŋ
garners		gɑˈɹnɚz
garnes			gɑˈɹnz
garnet			gɑˈɹnʌt
garnett		gɑˈɹnɪt
garnette		gɑɹnɛˈt
garney			gɑˈɹni
garnica		gɑɹniˈkʌ
garnier		gɑˈɹniɚ
garnish		gɑˈɹnɪʃ
garnished		gɑˈɹnɪʃt
garnishes		gɑˈɹnɪʃʌz
garnishment		gɑˈɹnɪʃmʌnt
garno			gɑˈɹnow
garnock		gɑˈɹnʌk
garnsey		gɑˈɹnsi
garo			gɛˈɹow
garofalo		gɑɹowfɑˈlow
garofano		gɑɹowfɑˈnow
garofolo		gɛɹʌfowˈlʌ
garols			gæˈɹɔlz
garon			gɑɹɔˈn
garone			gɚowˈn
garonzik		gɚɑˈnzɪk
garoutte		gɚuˈt
garp			gɑˈɹp
garp's			gɑˈɹps
garps			gɑˈɹps
garr			gæˈɹ
garrabrant		gɑɹɑˈbɹʌnt
garrahan		gæˈɹʌhæn
garramone		gæˈɹʌmowˌn
garrard		gæˈɹɚd
garratt		gɛˈɹʌt
garraway		gæˈɹʌwej
garrell		gɑɹejˈl
garrels		gæˈɹʌlz
garrelts		gæˈɹɪlts
garren			gɑˈɹʌn
garret			gɛˈɹɪt
garret's		gɛˈɹʌts
garrets		gɛˈɹʌts
garretson		gæˈɹɪtsʌn
garrett		gæˈɹɪt
garrett(1)		gɛˈɹɪt
garrett's		gæˈɹɪtz
garrett's(1)		gɛˈɹɪtz
garrette		gɚɛˈt
garrey			gæˈɹi
garrick		gɛˈɹɪk
garrido		gɑɹiˈdow
garrido-luna		gɑɹiˈdowluˈnʌ
garriga		gæˈɹɪgʌ
garrigan		gæˈɹɪgʌn
garrigues		gɑɹiˈgɛs
garrigus		gɑɹiˈgɪs
garringer		gæˈɹɪŋɚ
garriott		gæˈɹiʌt
garris			gæˈɹɪs
garrison		gæˈɹɪsʌn
garrisoned		gæˈɹʌsʌnd
garritano		gɑɹitɑˈnow
garritt		gæˈɹɪt
garrity		gɛˈɹɪti
garro			gɑˈɹow
garrod			gæˈɹʌd
garrol			gæˈɹʌl
garrols		gæˈɹʌlz
garron			gæˈɹʌn
garron's		gɛˈɹʌnz
garros			gɛˈɹows
garrott		gæˈɹʌt
garrow			gɛˈɹow
garroway		gæˈɹowwejˌ
garroz			gæˈɹʌz
garrulous		gɛˈɹʌlʌs
garry			gæˈɹi
garry(1)		gɛˈɹi
gars			gɑˈɹz
garside		gɑˈɹsajˌd
garske			gɑˈɹsk
garson			gɑˈɹsʌn
garst			gɑˈɹst
garsten		gɑˈɹstɛn
garsten's		gɑˈɹstɛnz
garstin		gɑˈɹstʌn
garstka		gɑˈɹstkʌ
garston		gɑˈɹstʌn
garten			gɑˈɹtʌn
gartenberg		gɑˈɹtʌnbɚg
garter			gɑˈɹtɚ
garters		gɑˈɹtɚz
garth			gɑˈɹθ
garthwaite		gɑˈɹθwejˌt
gartin			gɑˈɹtɪn
gartland		gɑˈɹtlʌnd
gartley		gɑˈɹtli
gartman		gɑˈɹtmʌn
gartmore		gɑˈɹtmɔˌɹ
gartner		gɑˈɹtnɚ
garton			gɑˈɹtʌn
gartrell		gɑˈɹtɹʌl
gartside		gɑˈɹtsajˌd
gartzke		gɑˈɹtsk
gartzke(1)		gɑˈɹtski
garuda			gʌɹuˈdʌ
garuda's		gʌɹuˈdʌz
garver			gɑˈɹvɚ
garver's		gɑˈɹvɚz
garverick		gɑˈɹvɚɪk
garvey			gɑˈɹvi
garvie			gɑˈɹvi
garvin			gɑˈɹvɪn
garwin			gɑˈɹwɪn
garwood		gɑˈɹwʊˌd
gary			gɛˈɹi
gary(1)		gæˈɹi
gary's			gɛˈɹiz
gary's(1)		gæˈɹiz
garza			gɑˈɹzʌ
garzarelli		gɑˈɹzɚɛˌli
garzon			gɑˈɹzʌn
gas			gæˈs
gas's			gæˈsɪz
gasaway		gæˈsʌwejˌ
gasbarro		gɑsbɑˈɹow
gasca			gɑˈskʌ
gascon			gæˈskʌn
gascons		gæˈskʌnz
gase			gejˈz
gaseous		gæˈsiʌs
gases			gæˈsʌz
gases(1)		gæˈsɪz
gash			gæˈʃ
gashed			gæˈʃt
gashes			gæˈʃʌz
gasich			gejˈzɪk
gasification		gæˌsʌfʌkejˈʃʌn
gasify			gæˌsʌfaj
gasior			gæˈsiɚ
gasiorowski		gʌsiɔɹɔˈfski
gaska			gɑˈskʌ
gaskamp		gæˈskæˌmp
gaskell		gæˈskʌl
gasket			gæˈskʌt
gaskets		gæˈskʌts
gaskey			gæˈskiˌ
gaskill		gæˈskɪˌl
gaskin			gæˈskɪn
gaskins		gæˈskɪnz
gaslight		gæˈslajt
gasner			gæˈsnɚ
gasohol		gæˈsʌhɔˌl
gasoline		gæˈsʌliˌn
gasolines		gæˌsʌliˈnz
gasp			gæˈsp
gaspar			gæˈspɚ
gaspara		gʌspɑˈɹʌ
gaspard		gʌspɑˈɹd
gaspari		gɑspɑˈɹi
gasparini		gɑspɑɹiˈni
gasparro		gɑspɑˈɹow
gaspe			gæˈspi
gasped			gæˈspt
gasper			gæˈspɚ
gasperini		gɑspɚiˈni
gasping		gæˈspɪŋ
gasps			gæˈsps
gasque			gejˈsk
gass			gæˈs
gassaway		gæˈsʌwej
gassed			gæˈst
gassee			gæˈsiˈ
gassen			gæˈsʌn
gasser			gæˈsɚ
gassert		gæˈsɚt
gasses			gæˈsɪz
gassett		gæˈsɪt
gassing		gæˈsɪŋ
gassman		gæˈsmʌn
gassmann		gæˈsmʌn
gassner		gæˈsnɚ
gast			gæˈst
gastelli		gʌstɛˈli
gaster			gæˈstɚ
gastilum		gejˈstɪlʌm
gastineau		gæˈstɪnowˌ
gaston			gæˈstʌn
gaston's		gæˈstʌnz
gastonia		gʌstowˈniʌ
gastric		gæˈstɹɪk
gastritis		gæstɹajˈtʌs
gastro			gæˈstɹow
gastrointestinal	gæˌstɹowɪntɛˈstʌnʌl
gastronomic		gʌstɹɑˌnɑˈmɪk
gastronomy		gæstɹɑˈnʌmi
gastroscope		gæˈstɹʌskowˌp
gastrovascular		gæˌstɹowvæˈskjʌlɚ
gastrulate		gæˈstɹʌlejˌt
gastrulation		gæˌstɹʌlejˈʃʌn
gat			gæˈt
gatch			gæˈʧ
gatchel		gæˈʧʌl
gatchell		gæˈʧʌl
gate			gejˈt
gateau			gɑtowˈ
gated			gejˈtɪd
gatekeeper		gejˈtkiˌpɚ
gatekeepers		gejˈtkiˌpɚz
gateley		gæˈtɪli
gateley(1)		gejˈtli
gately			gejˈtli
gates			gejˈts
gates'			gejˈts
gates's		gejˈtsɪz
gates's(1)		gejˈts
gateway		gejˈtwejˌ
gateway's		gejˈtwejˌz
gateways		gejˈtwejˌz
gatewood		gejˈtwʊˌd
gath			gæˈθ
gather			gæˈðɚ
gathered		gæˈðɚd
gatherer		gæˈðɚɚ
gatherers		gæˈðɚɚz
gathering		gæˈðɚɪŋ
gatherings		gæˈðɚɪŋz
gathers		gæˈðɚz
gathings		gæˈθɪŋz
gathman		gæˈθmʌn
gathright		gæˈθɹajˌt
gatien			gejˈtjɛn
gating			gejˈtɪŋ
gatley			gæˈtli
gatliff		gæˈtlɪf
gatlin			gæˈtlɪn
gatling		gæˈtlɪŋ
gatling's		gæˈtlɪŋz
gatoil			gʌtɔjˈl
gator			gejˈtɚ
gatorade		gæˈtɚejˌd
gators			gejˈtɚz
gatos			gɑˈtowˌs
gatos(1)		gæˈtowˌs
gatos(2)		gejˈtowˌs
gatos(3)		gejˈtows
gatrell		gæˈtɹʌl
gatsby			gæˈtsbi
gatson			gæˈtsʌn
gatt			gæˈt
gatten			gæˈtʌn
gatti			gæˈti
gatting		gæˈtɪŋ
gattis			gæˈtɪs
gattis(1)		gæˈtiz
gatton			gæˈtʌn
gattuso		gɑtuˈsow
gatty			gæˈti
gatward		gæˈtwɚd
gatwick		gæˈtwɪˌk
gatwick(1)		gejˈtwɪˌk
gatx			gæˈtɛˌks
gatz			gæˈts
gatza			gɑˈtzʌ
gatzke			gæˈtsk
gatzke(1)		gæˈtski
gau			gowˈ
gaub			gɔˈb
gaubatz		gawˈbʌts
gaubert		gawˈbɚt
gaubert(1)		gawbɛˈɹt
gaubert's		gawˈbɚts
gaubert's(1)		gawbɛˈɹts
gauch			gɔˈʧ
